"Plot Title: DO_2"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °C (LGR S/N: 20645540, SEN S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","Coupler Detached (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
1,07/18/19 02:00:00 PM,6.51,10.42,,,,
2,07/18/19 02:15:00 PM,6.43,10.44,,,,
3,07/18/19 02:30:00 PM,6.44,10.54,,,,
4,07/18/19 02:45:00 PM,6.41,10.54,,,,
5,07/18/19 03:00:00 PM,6.43,10.56,,,,
6,07/18/19 03:15:00 PM,6.43,10.66,,,,
7,07/18/19 03:30:00 PM,6.42,10.72,,,,
8,07/18/19 03:45:00 PM,6.42,10.74,,,,
9,07/18/19 04:00:00 PM,6.41,10.74,,,,
10,07/18/19 04:15:00 PM,6.37,10.68,,,,
11,07/18/19 04:30:00 PM,6.35,10.62,,,,
12,07/18/19 04:45:00 PM,6.33,10.58,,,,
13,07/18/19 05:00:00 PM,6.25,10.40,,,,
14,07/18/19 05:15:00 PM,6.17,10.16,,,,
15,07/18/19 05:30:00 PM,6.12,9.94,,,,
16,07/18/19 05:45:00 PM,6.05,9.76,,,,
17,07/18/19 06:00:00 PM,5.94,9.56,,,,
18,07/18/19 06:15:00 PM,5.84,9.34,,,,
19,07/18/19 06:30:00 PM,5.72,9.16,,,,
20,07/18/19 06:45:00 PM,5.62,8.96,,,,
21,07/18/19 07:00:00 PM,5.52,8.80,,,,
22,07/18/19 07:15:00 PM,5.44,8.64,,,,
23,07/18/19 07:30:00 PM,5.36,8.52,,,,
24,07/18/19 07:45:00 PM,5.29,8.40,,,,
25,07/18/19 08:00:00 PM,5.22,8.28,,,,
26,07/18/19 08:15:00 PM,5.15,8.18,,,,
27,07/18/19 08:30:00 PM,5.10,8.10,,,,
28,07/18/19 08:45:00 PM,5.04,8.00,,,,
29,07/18/19 09:00:00 PM,4.99,7.90,,,,
30,07/18/19 09:15:00 PM,4.95,7.82,,,,
31,07/18/19 09:30:00 PM,4.91,7.72,,,,
32,07/18/19 09:45:00 PM,4.87,7.62,,,,
33,07/18/19 10:00:00 PM,4.84,7.54,,,,
34,07/18/19 10:15:00 PM,4.81,7.44,,,,
35,07/18/19 10:30:00 PM,4.78,7.36,,,,
36,07/18/19 10:45:00 PM,4.76,7.26,,,,
37,07/18/19 11:00:00 PM,4.76,7.16,,,,
38,07/18/19 11:15:00 PM,4.75,7.08,,,,
39,07/18/19 11:30:00 PM,4.73,7.00,,,,
