Serial_number:
2020436
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/10/2019,11:59:31 am,0,-0.0095,6.974
7/10/2019,12:14:31 pm,0,-0.0050,7.866
7/10/2019,12:29:31 pm,0,-0.0103,6.894
7/10/2019,12:44:31 pm,0,-0.0101,7.404
7/10/2019,12:59:31 pm,0,-0.0083,7.681
7/10/2019,01:14:31 pm,0,-0.0111,7.531
7/10/2019,01:29:31 pm,0,-0.0124,6.761
7/10/2019,01:44:31 pm,0,-0.0037,9.565
7/10/2019,01:59:31 pm,0,-0.0003,9.623
7/10/2019,02:14:31 pm,0,-0.0041,9.909
7/10/2019,02:29:31 pm,0,-0.0031,9.852
7/10/2019,02:44:31 pm,0,-0.0025,9.842
7/10/2019,02:59:31 pm,0,0.0031,9.707
7/10/2019,03:14:31 pm,0,0.0003,9.248
7/10/2019,03:29:31 pm,0,0.0004,8.957
7/10/2019,03:44:31 pm,0,-0.0042,8.804
7/10/2019,03:59:31 pm,0,-0.0033,8.871
7/10/2019,04:14:31 pm,0,-0.0024,8.724
7/10/2019,04:29:31 pm,0,-0.0039,8.561
7/10/2019,04:44:31 pm,0,0.0009,8.043
7/10/2019,04:59:31 pm,0,-0.0044,7.769
7/10/2019,05:14:31 pm,0,-0.0028,7.544
7/10/2019,05:29:31 pm,0,-0.0052,7.306
7/10/2019,05:44:31 pm,0,-0.0022,6.915
7/10/2019,05:59:31 pm,0,-0.0047,6.521
7/10/2019,06:14:31 pm,0,-0.0041,6.179
7/10/2019,06:29:31 pm,0,-0.0052,5.872
7/10/2019,06:44:31 pm,0,-0.0049,5.633
7/10/2019,06:59:31 pm,0,-0.0067,5.409
7/10/2019,07:14:31 pm,0,-0.0024,5.162
7/10/2019,07:29:31 pm,0,-0.0015,5.006
7/10/2019,07:44:31 pm,0,-0.0074,4.795
7/10/2019,07:59:31 pm,0,-0.0078,4.621
7/10/2019,08:14:31 pm,0,-0.0088,4.376
7/10/2019,08:29:31 pm,0,-0.0053,4.236
7/10/2019,08:44:31 pm,0,-0.0059,4.086
7/10/2019,08:59:31 pm,0,-0.0093,3.852
7/10/2019,09:14:31 pm,0,-0.0094,3.642
7/10/2019,09:29:31 pm,0,-0.0097,3.475
7/10/2019,09:44:31 pm,0,-0.0078,3.347
7/10/2019,09:59:31 pm,0,-0.0108,3.251
7/10/2019,10:14:31 pm,0,-0.0119,3.108
7/10/2019,10:29:31 pm,0,-0.0104,2.981
7/10/2019,10:44:31 pm,0,-0.0131,2.870
7/10/2019,10:59:31 pm,0,-0.0117,2.756
7/10/2019,11:14:31 pm,0,-0.0114,2.739
7/10/2019,11:29:31 pm,0,-0.0092,2.705
7/10/2019,11:44:31 pm,0,-0.0119,2.635
7/10/2019,11:59:31 pm,0,-0.0160,2.515
7/11/2019,12:14:31 am,0,-0.0136,2.398
7/11/2019,12:29:31 am,0,-0.0156,2.330
7/11/2019,12:44:31 am,0,-0.0128,2.313
7/11/2019,12:59:31 am,0,-0.0130,2.420
7/11/2019,01:14:31 am,0,-0.0146,2.510
7/11/2019,01:29:31 am,0,-0.0132,2.521
7/11/2019,01:44:31 am,0,-0.0141,2.503
7/11/2019,01:59:31 am,0,-0.0145,2.516
7/11/2019,02:14:31 am,0,-0.0135,2.492
7/11/2019,02:29:31 am,0,-0.0123,2.508
7/11/2019,02:44:31 am,0,-0.0110,2.551
7/11/2019,02:59:31 am,0,-0.0115,2.512
7/11/2019,03:14:31 am,0,-0.0119,2.507
7/11/2019,03:29:31 am,0,-0.0122,2.473
7/11/2019,03:44:31 am,0,-0.0123,2.272
7/11/2019,03:59:31 am,0,-0.0119,2.247
